data_type,field_pt,date,year,month,day,locality,site,bar,org_stn,station,transect,tran_length,easting,northing,elev_m,pt_type,collector,el_type,gear,location
ELEVATION,BM1,10/23/2018,2018,10,23,LC,O,8B,N_A,LCO8B,-999,-999,294701.471,3238857.612,-0.256,STATION,UF,BENCHMARK,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BM2,10/23/2018,2018,10,23,LC,O,9A,N_A,LCO9A,-999,-999,294798.689,3238780.521,-0.086,STATION,UF,BENCHMARK,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BM4,10/23/2018,2018,10,23,LC,O,10A,N_A,LCO10A,-999,-999,295032.538,3238590.837,-0.467,STATION,UF,BENCHMARK,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BM9,10/23/2018,2018,10,23,LC,O,15,N_A,LCO15,-999,-999,295796.629,3237661.603,-0.546,STATION,UF,BENCHMARK,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BM16,10/25/2018,2018,10,23,LC,O,20,N_A,LCO20,-999,-999,295881.231,3237433.395,-0.369,STATION,UF,BENCHMARK,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BM19,10/25/2018,2018,10,23,LC,O,22,N_A,LCO22,-999,-999,296684.212,3235419.703,-0.402,STATION,UF,BENCHMARK,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTGCP1,10/24/2018,2018,10,23,BT,I,-999,N_A,N_A,-999,-999,297485.326,3238961.434,-0.214,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTGCP2,10/24/2018,2018,10,23,BT,I,-999,N_A,N_A,-999,-999,297661.757,3239262.614,0.261,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTGCP3,10/24/2018,2018,10,23,BT,I,-999,N_A,N_A,-999,-999,297446.39,3239430.712,-0.022,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTGCP4,10/24/2018,2018,10,23,BT,I,-999,N_A,N_A,-999,-999,297660.808,3239695.027,-0.184,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTGCP5,10/24/2018,2018,10,23,BT,I,-999,N_A,N_A,-999,-999,297972.442,3239455.462,-0.183,STATION,UF,DRONE,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI1-0,1/8/2019,2019,1,8,BT,I,1,N_A,BTI1,1,0,297451.728,3239370.348,-0.788,TRAN_ST,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI1-1,1/8/2019,2019,1,8,BT,I,1,N_A,BTI1,1,2.5,297454.192,3239369.962,-0.591,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI1-2,1/8/2019,2019,1,8,BT,I,1,N_A,BTI1,1,5,297456.632,3239369.497,-0.405,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI1-3,1/8/2019,2019,1,8,BT,I,1,N_A,BTI1,1,7.5,297459.053,3239368.983,-0.426,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
ELEVATION,BTI1-4,1/8/2019,2019,1,8,BT,I,1,N_A,BTI1,1,10,297461.521,3239368.544,-0.396,N_A,UF,REEF,TRIMBLE_5800_RTK,T:\Oyster Project\oyster_project2\project_task_working\t7_data_management\gis
