DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
1/1/2018 0:00,1.3,41,1.5,15.3,1018.7,,
1/1/2018 1:00,1,13,1.6,15.1,1019.6,,
1/1/2018 2:00,2.9,57,3.2,14.2,1019.9,,
1/1/2018 3:00,3.1,50,3.4,14.2,1019.5,,
1/1/2018 4:00,4.5,56,5.6,14.1,1019.1,,
1/1/2018 5:00,4.1,29,6.4,13.4,1019,,
1/1/2018 6:00,4.7,33,6.6,11.4,1018.6,,
1/1/2018 7:00,6.4,37,7.6,10.7,1018.1,,
1/1/2018 8:00,7.3,25,8.8,10.6,1017.9,,
1/1/2018 9:00,3.7,6,7.1,9.4,1018.8,,
1/1/2018 10:00,,0,,,,,
1/1/2018 11:00,4.3,13,8.8,7.9,1020.1,,
1/1/2018 12:00,5,14,9.2,6.6,1020.8,,
1/1/2018 13:00,4.3,16,6.9,6.4,1021.6,,
1/1/2018 14:00,5.3,10,8.7,6.2,1022.8,,
1/1/2018 15:00,5.7,18,7.8,6.2,1023.7,,
1/1/2018 16:00,7.7,34,11.1,6.3,1023.8,,
1/1/2018 17:00,6.2,25,8.9,6,1023.9,,
1/1/2018 18:00,5.5,26,8.2,5.5,1023,,
1/1/2018 19:00,5.8,17,9.7,4.5,1023,,
1/1/2018 20:00,6.7,16,9.8,3.5,1023.7,,
1/1/2018 21:00,6.5,25,9.1,3.1,1023.9,,
1/1/2018 22:00,6.1,15,9.2,3.1,1024.5,,
1/1/2018 23:00,5.6,17,8.9,3,1025.4,,
1/2/2018 0:00,6.6,26,8.9,2.6,1026.3,,
1/2/2018 1:00,5.4,22,9.6,2.5,1026.8,,
1/2/2018 2:00,7.5,28,10.9,2.5,1026.8,,
1/2/2018 3:00,8.2,26,10.7,2.4,1027.3,,
1/2/2018 4:00,6.3,21,11.3,2.3,1027.9,,
1/2/2018 5:00,7.1,25,10.4,2.1,1027.5,,
1/2/2018 6:00,7.2,29,12.5,2,1027.1,,
1/2/2018 7:00,6.4,26,9.7,1.7,1026.9,,
1/2/2018 8:00,7.6,26,9.9,1.5,1026.9,,
1/2/2018 9:00,8,33,10.4,1.3,1026.9,,
1/2/2018 10:00,6.1,25,8.6,0.8,1026.7,,
1/2/2018 11:00,5.1,21,8.1,0.7,1027.3,,
1/2/2018 12:00,5.9,26,8.3,0.3,1027.8,,
1/2/2018 13:00,7.3,21,10.4,0,1028.1,,
1/2/2018 14:00,6.5,30,8.3,0.5,1028.2,,
1/2/2018 15:00,9.1,30,11.8,1.2,1028.4,,
1/2/2018 16:00,6.5,31,11.1,2.7,1027.9,,
1/2/2018 17:00,7.4,27,10.1,3.8,1027,,
1/2/2018 18:00,8.3,44,9.8,4.9,1026.1,,
1/2/2018 19:00,6.7,30,8.5,5.9,1025.1,,
1/2/2018 20:00,6.8,24,10,6,1024.4,,
1/2/2018 21:00,7.8,35,10.1,5.7,1024.6,,
1/2/2018 22:00,7.4,32,10,5.6,1024.6,,
1/2/2018 23:00,6,30,8.7,5.4,1024.5,,
1/3/2018 0:00,7.5,37,9.6,5,1024.2,,
1/3/2018 1:00,5.7,26,7.5,4.5,1024.6,,
1/3/2018 2:00,7,31,10.4,3.8,1023.8,,
1/3/2018 3:00,4.3,20,7.7,3.4,1024,,
1/3/2018 4:00,5.6,30,7.5,2.9,1022.8,,
1/3/2018 5:00,4.8,28,6,2.6,1022.4,,
1/3/2018 6:00,3.9,19,6.7,2.6,1021.3,,
1/3/2018 7:00,4.6,32,6.3,2.7,1020.5,,
1/3/2018 8:00,4.1,349,5.7,1.4,1020.4,,
1/3/2018 9:00,3,340,6.1,1.2,1019.6,,
1/3/2018 10:00,2.8,346,5.6,1.1,1018.3,,
1/3/2018 11:00,2,349,3.9,0.9,1017.9,,
1/3/2018 12:00,5,319,8.5,0.5,1018.8,,
1/3/2018 13:00,5.6,301,8.5,0.8,1020.2,,
1/3/2018 14:00,4.2,311,6.5,1.6,1020.5,,
1/3/2018 15:00,2.1,8,4.7,2.2,1019.3,,
1/3/2018 16:00,2.9,344,6.4,4.6,1018.9,,
1/3/2018 17:00,7.6,286,9.4,5.5,1018.2,,
1/3/2018 18:00,5.1,309,7.5,4.8,1017,,
1/3/2018 19:00,4.6,320,7.1,6.8,1015.4,,
1/3/2018 20:00,5,319,6.6,6.2,1015.4,,
1/3/2018 21:00,2.4,356,4.4,5.1,1015.3,,
1/3/2018 22:00,3.2,325,6.2,4,1016.3,,
1/3/2018 23:00,4.3,334,6.3,3.1,1016.8,,
1/4/2018 0:00,1.8,347,4.1,2.5,1017.5,,
1/4/2018 1:00,1.3,342,3,1.9,1017.9,,
1/4/2018 2:00,1.6,349,3.5,1.5,1018.3,,
1/4/2018 3:00,1.5,332,2.8,1.2,1018.6,,
1/4/2018 4:00,1.9,326,3.5,1.9,1018.8,,
1/4/2018 5:00,3.1,329,5.5,3.1,1018.3,,
1/4/2018 6:00,2.8,328,6.8,3,1018,,
1/4/2018 7:00,2.3,321,4.2,3.4,1018.1,,
1/4/2018 8:00,4.8,316,6.4,4.6,1018.3,,
1/4/2018 9:00,5.4,318,10.5,4.5,1018.5,,
1/4/2018 10:00,5.4,327,7.6,3.2,1018.7,,
1/4/2018 11:00,6,319,10,2.8,1019.3,,
1/4/2018 12:00,4.2,321,7.8,2.4,1020.1,,
1/4/2018 13:00,3.4,324,5.1,2.6,1020.6,,
1/4/2018 14:00,4.1,325,6.4,3.4,1021.2,,
1/4/2018 15:00,4.2,317,7.2,4.4,1021.6,,
1/4/2018 16:00,5.3,320,8,4.6,1021.6,,
1/4/2018 17:00,5.2,300,7.1,5.1,1020.8,,
1/4/2018 18:00,7.2,285,9.4,6.3,1019.7,,
1/4/2018 19:00,6.9,281,10.7,7,1019.5,,
1/4/2018 20:00,6.9,288,9.1,7.1,1019.1,,
1/4/2018 21:00,6.1,292,8.3,7.6,1019.4,,
1/4/2018 22:00,5.6,293,7.2,7.1,1019.6,,
1/4/2018 23:00,3.8,296,7,6.4,1020.2,,
1/5/2018 0:00,3.5,297,5,6.7,1020.6,,
1/5/2018 1:00,2.1,315,2.8,6.6,1021.2,,
1/5/2018 2:00,2.2,324,3.1,5.4,1021.8,,
1/5/2018 3:00,3.2,337,5.2,5,1022.8,,
1/5/2018 4:00,3.2,325,5.2,4.3,1023.4,,
1/5/2018 5:00,4.1,337,6.7,3.9,1023.6,,
1/5/2018 6:00,2.7,337,4.9,3,1023.9,,
1/5/2018 7:00,1.8,338,4.5,2.3,1024.4,,
1/5/2018 8:00,2.9,338,4.6,1.7,1024.5,,
1/5/2018 9:00,3.2,345,4.5,1.4,1024.7,,
1/5/2018 10:00,3.5,346,5.7,0.5,1024.9,,
1/5/2018 11:00,3,344,4.9,-0.2,1025.5,,
1/5/2018 12:00,3.1,352,5.2,-0.3,1026.5,,
1/5/2018 13:00,2.7,5,5.1,-0.1,1027.3,,
1/5/2018 14:00,2.4,8,4,1.4,1028.4,,
1/5/2018 15:00,3,46,3.7,1.7,1028.8,,
1/5/2018 16:00,1.7,103,2.4,2.7,1028.9,,
1/5/2018 17:00,0.6,128,1.7,4.4,1028.2,,
1/5/2018 18:00,3.4,251,3.9,4.7,1027.2,,
1/5/2018 19:00,4,271,4.5,5.2,1026.6,,
1/5/2018 20:00,3.2,297,4.2,6.6,1026.3,,
1/5/2018 21:00,3.4,306,4.8,6.7,1026.6,,
1/5/2018 22:00,3.6,313,4.8,6.2,1026.8,,
1/5/2018 23:00,2.5,315,3.1,5.8,1027.3,,
1/6/2018 0:00,1.7,324,2.5,5.5,1027.3,,
1/6/2018 1:00,1.1,286,1.2,5.1,1028,,
1/6/2018 2:00,1.4,321,1.9,5,1028.4,,
1/6/2018 3:00,2.2,326,2.5,5.1,1028.7,,
1/6/2018 4:00,2.3,330,3.1,4.7,1029,,
1/6/2018 5:00,1.8,335,2.4,5.1,1028.6,,
1/6/2018 6:00,1.7,339,2.5,4.9,1028.3,,
1/6/2018 7:00,2,346,2.8,5,1028.2,,
1/6/2018 8:00,1.5,337,3,4.6,1028.2,,
1/6/2018 9:00,0.8,2,1.8,4,1028.5,,
1/6/2018 10:00,1.2,4,2.9,3.4,1028.6,,
1/6/2018 11:00,2.5,12,3.8,3.1,1028.7,,
1/6/2018 12:00,3.1,15,5.3,3.2,1029,,
1/6/2018 13:00,4.3,19,6.1,2.9,1029.7,,
1/6/2018 14:00,4.4,28,6.2,3.4,1030.7,,
