Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
11/1/2018,0:00,0.632,-,1.28
11/1/2018,1:00,0.715,-,1.41
11/1/2018,2:00,0.59,-,1.46
11/1/2018,3:00,0.326,-,1.27
11/1/2018,4:00,0.011,-,0.88
11/1/2018,5:00,-0.269,-,0.65
11/1/2018,6:00,-0.42,-,0.53
11/1/2018,7:00,-0.335,-,0.63
11/1/2018,8:00,-0.007,-,0.87
11/1/2018,9:00,0.434,-,1.3
11/1/2018,10:00,0.856,-,1.76
11/1/2018,11:00,1.163,-,2.13
11/1/2018,12:00,1.253,-,2.42
11/1/2018,13:00,1.081,-,2.44
11/1/2018,14:00,0.688,-,2.2
11/1/2018,15:00,0.153,-,1.89
11/1/2018,16:00,-0.433,-,1.31
11/1/2018,17:00,-0.985,-,0.81
11/1/2018,18:00,-1.438,-,0.16
11/1/2018,19:00,-1.683,-,0.01
11/1/2018,20:00,-1.63,-,-0.25
11/1/2018,21:00,-1.311,-,0.02
11/1/2018,22:00,-0.828,-,0.4
11/1/2018,23:00,-0.271,-,1.02
11/2/2018,0:00,0.25,-,1.6
11/2/2018,1:00,0.611,-,2.19
11/2/2018,2:00,0.752,-,1.93
11/2/2018,3:00,0.671,-,2.2
11/2/2018,4:00,0.42,-,1.82
11/2/2018,5:00,0.082,-,1.51
11/2/2018,6:00,-0.267,-,1.04
11/2/2018,7:00,-0.529,-,0.77
11/2/2018,8:00,-0.57,-,0.59
11/2/2018,9:00,-0.354,-,0.79
11/2/2018,10:00,0.022,-,0.86
11/2/2018,11:00,0.45,-,1.62
11/2/2018,12:00,0.835,-,2.08
11/2/2018,13:00,1.065,-,2.25
11/2/2018,14:00,1.063,-,2.42
11/2/2018,15:00,0.827,-,2.3
11/2/2018,16:00,0.406,-,2.08
11/2/2018,17:00,-0.117,-,1.67
11/2/2018,18:00,-0.67,-,1.43
11/2/2018,19:00,-1.183,-,0.61
11/2/2018,20:00,-1.518,-,0.18
11/2/2018,21:00,-1.549,-,-0.31
11/2/2018,22:00,-1.29,-,-0.27
11/2/2018,23:00,-0.831,-,0.1
11/3/2018,0:00,-0.254,-,0.51
11/3/2018,1:00,0.318,-,0.88
11/3/2018,2:00,0.736,-,1.25
11/3/2018,3:00,0.907,-,1.51
11/3/2018,4:00,0.816,-,1.49
11/3/2018,5:00,0.518,-,1.08
11/3/2018,6:00,0.09,-,0.58
11/3/2018,7:00,-0.395,-,0.02
11/3/2018,8:00,-0.806,-,-0.52
11/3/2018,9:00,-0.965,-,-0.99
11/3/2018,10:00,-0.819,-,-1.15
11/3/2018,11:00,-0.452,-,-1
11/3/2018,12:00,0.049,-,-0.72
11/3/2018,13:00,0.579,-,-0.36
11/3/2018,14:00,0.985,-,-0.05
11/3/2018,15:00,1.145,-,0.24
11/3/2018,16:00,1.027,-,0.26
11/3/2018,17:00,0.675,-,0
11/3/2018,18:00,0.166,-,-0.33
11/3/2018,19:00,-0.437,-,-0.77
11/3/2018,20:00,-1.033,-,-1.24
11/3/2018,21:00,-1.432,-,-1.68
11/3/2018,22:00,-1.494,-,-1.78
11/3/2018,23:00,-1.24,-,-1.61
11/4/2018,0:00,-0.746,-,-1.22
11/4/2018,1:00,-0.098,-,-0.64
11/4/2018,2:00,0.541,-,-0.08
11/4/2018,3:00,0.982,-,0.35
11/4/2018,4:00,1.122,-,0.59
11/4/2018,5:00,0.958,-,0.51
